algorithm,ratio,minsup_pct,wall_sec_mean,mining_sec_mean,patterns,maxrss_kb_mean,n_runs,status
BIDE+,0.0001,0.0100,23.063,22.748,1867251,10196729,3,OK
ClaSP,0.0001,0.0100,60.623,60.093,1867251,23329149,3,OK
CloSpan,0.0001,0.0100,44.117,43.696,1867251,18301305,3,OK
TriBack-Clo,0.0001,0.0100,4.947,4.373,1867251,1573464,3,OK
BIDE+,0.0005,0.0500,4.453,4.153,118833,4420025,3,OK
ClaSP,0.0005,0.0500,12.060,11.562,118833,4472256,3,OK
CloSpan,0.0005,0.0500,11.223,10.839,118833,3787566,3,OK
TriBack-Clo,0.0005,0.0500,1.273,0.828,118833,703961,3,OK
BIDE+,0.001,0.1000,2.267,1.971,36133,1028814,3,OK
ClaSP,0.001,0.1000,7.263,6.769,36133,1806380,3,OK
CloSpan,0.001,0.1000,7.293,6.906,36133,2782010,3,OK
TriBack-Clo,0.001,0.1000,0.907,0.470,36133,609796,3,OK
BIDE+,0.002,0.2000,1.477,1.184,11592,939497,3,OK
ClaSP,0.002,0.2000,4.750,4.262,11592,1324260,3,OK
CloSpan,0.002,0.2000,4.713,4.340,11592,1127789,3,OK
TriBack-Clo,0.002,0.2000,0.740,0.307,11592,572185,3,OK
BIDE+,0.005,0.5000,0.913,0.612,2267,837426,3,OK
ClaSP,0.005,0.5000,3.180,2.692,2267,1118173,3,OK
CloSpan,0.005,0.5000,2.933,2.556,2267,1113128,3,OK
TriBack-Clo,0.005,0.5000,0.617,0.187,2267,552028,3,OK
BIDE+,0.01,1.0000,0.703,0.417,901,572162,3,OK
ClaSP,0.01,1.0000,2.333,1.852,901,1032669,3,OK
CloSpan,0.01,1.0000,2.163,1.791,901,1029037,3,OK
TriBack-Clo,0.01,1.0000,0.580,0.161,901,539957,3,OK
BIDE+,0.02,2.0000,0.560,0.267,260,350594,3,OK
ClaSP,0.02,2.0000,1.567,1.083,260,747818,3,OK
CloSpan,0.02,2.0000,1.323,0.950,260,811236,3,OK
TriBack-Clo,0.02,2.0000,0.537,0.101,260,541416,3,OK
BIDE+,0.05,5.0000,0.450,0.154,49,225316,3,OK
ClaSP,0.05,5.0000,1.200,0.718,49,543194,3,OK
CloSpan,0.05,5.0000,0.917,0.544,49,526457,3,OK
TriBack-Clo,0.05,5.0000,0.483,0.052,49,532341,3,OK
BIDE+,0.1,10.0000,0.410,0.118,23,203562,3,OK
ClaSP,0.1,10.0000,0.737,0.267,23,379014,3,OK
CloSpan,0.1,10.0000,0.673,0.296,23,397060,3,OK
TriBack-Clo,0.1,10.0000,0.490,0.048,23,537621,3,OK
BIDE+,0.2,20.0000,0.383,0.094,6,185088,3,OK
ClaSP,0.2,20.0000,0.527,0.049,6,293041,3,OK
CloSpan,0.2,20.0000,0.457,0.080,6,271718,3,OK
TriBack-Clo,0.2,20.0000,0.477,0.032,6,530250,3,OK
