algorithm,ratio,minsup_pct,wall_sec_mean,mining_sec_mean,patterns,maxrss_kb_mean,n_runs,status
BIDE+,0.000005,0.0005,191.300,190.984,1691049,10240968,3,OK
ClaSP,0.000005,0.0005,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.000005,0.0005,N/A,N/A,0,N/A,0,ERROR
TriBack-Clo,0.000005,0.0005,N/A,N/A,0,N/A,0,ERROR
BIDE+,0.00001,0.0010,191.950,191.634,1691049,10230060,3,OK
ClaSP,0.00001,0.0010,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.00001,0.0010,N/A,N/A,0,N/A,0,ERROR
TriBack-Clo,0.00001,0.0010,N/A,N/A,0,N/A,0,ERROR
BIDE+,0.00005,0.0050,76.867,76.549,1196295,10222804,3,OK
ClaSP,0.00005,0.0050,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.00005,0.0050,N/A,N/A,0,N/A,0,ERROR
TriBack-Clo,0.00005,0.0050,49.367,48.593,1196295,10812516,3,OK
BIDE+,0.0001,0.0100,50.027,49.710,665411,10208917,3,OK
ClaSP,0.0001,0.0100,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.0001,0.0100,691.730,690.633,665411,96268273,3,OK
TriBack-Clo,0.0001,0.0100,16.590,15.889,665411,1405589,3,OK
BIDE+,0.0005,0.0500,11.903,11.583,77529,10208201,3,OK
ClaSP,0.0005,0.0500,53.733,52.846,77529,17145321,3,OK
CloSpan,0.0005,0.0500,108.890,108.358,77529,12015256,3,OK
TriBack-Clo,0.0005,0.0500,2.873,2.245,77529,1195018,3,OK
BIDE+,0.001,0.1000,4.657,4.353,22245,2694294,3,OK
ClaSP,0.001,0.1000,25.650,24.750,22245,7110500,3,OK
CloSpan,0.001,0.1000,44.553,44.012,22245,10748364,3,OK
TriBack-Clo,0.001,0.1000,1.643,1.023,22245,894138,3,OK
BIDE+,0.005,0.5000,0.637,0.346,408,409398,3,OK
ClaSP,0.005,0.5000,2.873,1.898,408,1048440,3,OK
CloSpan,0.005,0.5000,3.220,2.727,408,1216598,3,OK
TriBack-Clo,0.005,0.5000,0.757,0.156,408,737554,3,OK
BIDE+,0.01,1.0000,0.513,0.223,81,285609,3,OK
ClaSP,0.01,1.0000,1.470,0.444,81,761064,3,OK
CloSpan,0.01,1.0000,1.117,0.619,81,747121,3,OK
TriBack-Clo,0.01,1.0000,0.713,0.112,81,718178,3,OK
BIDE+,0.02,2.0000,0.467,0.174,13,259756,3,OK
ClaSP,0.02,2.0000,1.197,0.080,13,596956,3,OK
CloSpan,0.02,2.0000,0.640,0.145,13,492017,3,OK
TriBack-Clo,0.02,2.0000,0.673,0.059,13,710900,3,OK
BIDE+,0.05,5.0000,0.443,0.153,0,250944,3,OK
ClaSP,0.05,5.0000,1.203,0.005,0,572329,3,OK
CloSpan,0.05,5.0000,0.550,0.052,0,424165,3,OK
TriBack-Clo,0.05,5.0000,0.627,0.031,0,705601,3,OK
BIDE+,0.1,10.0000,0.453,0.156,0,251466,3,OK
ClaSP,0.1,10.0000,1.190,0.005,0,568725,3,OK
CloSpan,0.1,10.0000,0.557,0.052,0,426828,3,OK
TriBack-Clo,0.1,10.0000,0.630,0.031,0,705141,3,OK
BIDE+,0.2,20.0000,0.443,0.154,0,253224,3,OK
ClaSP,0.2,20.0000,1.220,0.005,0,571849,3,OK
CloSpan,0.2,20.0000,0.567,0.053,0,423909,3,OK
TriBack-Clo,0.2,20.0000,0.633,0.032,0,706961,3,OK
