algorithm,ratio,minsup_pct,wall_sec_mean,mining_sec_mean,patterns,maxrss_kb_mean,n_runs,status
BIDE+,0.005,0.5000,N/A,N/A,0,N/A,0,ERROR
ClaSP,0.005,0.5000,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.005,0.5000,N/A,N/A,0,N/A,0,ERROR
TriBack-Clo,0.005,0.5000,N/A,N/A,0,N/A,0,ERROR
BIDE+,0.01,1.0000,N/A,N/A,0,N/A,0,ERROR
ClaSP,0.01,1.0000,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.01,1.0000,N/A,N/A,0,N/A,0,ERROR
TriBack-Clo,0.01,1.0000,N/A,N/A,0,N/A,0,ERROR
BIDE+,0.02,2.0000,N/A,N/A,0,N/A,0,ERROR
ClaSP,0.02,2.0000,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.02,2.0000,N/A,N/A,0,N/A,0,ERROR
TriBack-Clo,0.02,2.0000,7114.407,7111.111,34266042,17749189,3,OK
BIDE+,0.05,5.0000,2794.327,2794.006,910422,10328761,3,OK
ClaSP,0.05,5.0000,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.05,5.0000,3309.993,3309.386,910422,14553210,3,OK
TriBack-Clo,0.05,5.0000,435.697,434.915,910422,7356741,3,OK
BIDE+,0.1,10.0000,184.407,184.094,40642,10244170,3,OK
ClaSP,0.1,10.0000,188.950,187.830,40642,30890937,3,OK
CloSpan,0.1,10.0000,220.413,219.817,40642,10635965,3,OK
TriBack-Clo,0.1,10.0000,38.990,38.304,40642,1334917,3,OK
BIDE+,0.2,20.0000,6.517,6.218,938,3391857,3,OK
ClaSP,0.2,20.0000,13.357,12.330,938,2321478,3,OK
CloSpan,0.2,20.0000,11.877,11.303,938,5506408,3,OK
TriBack-Clo,0.2,20.0000,2.370,1.713,938,820962,3,OK
