algorithm,ratio,minsup_pct,wall_sec_mean,mining_sec_mean,patterns,maxrss_kb_mean,n_runs,status
BIDE+,0.0002,0.0200,1292.470,1292.154,3375751,10239864,3,OK
ClaSP,0.0002,0.0200,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.0002,0.0200,N/A,N/A,0,N/A,0,ERROR
TriBack-Clo,0.0002,0.0200,3582.283,3581.482,3375751,11608456,3,OK
BIDE+,0.0005,0.0500,77.833,77.517,211039,10214306,3,OK
ClaSP,0.0005,0.0500,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.0005,0.0500,N/A,N/A,0,N/A,0,ERROR
TriBack-Clo,0.0005,0.0500,94.917,94.358,211039,10650828,3,OK
BIDE+,0.001,0.1000,14.947,14.631,42671,10204161,3,OK
ClaSP,0.001,0.1000,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.001,0.1000,N/A,N/A,0,N/A,0,ERROR
TriBack-Clo,0.001,0.1000,3.343,2.862,42671,1270810,3,OK
BIDE+,0.002,0.2000,2.757,2.465,9005,1161326,3,OK
ClaSP,0.002,0.2000,11.653,11.006,9005,2600498,3,OK
CloSpan,0.002,0.2000,16.277,15.798,9005,10382942,3,OK
TriBack-Clo,0.002,0.2000,1.170,0.711,9005,683986,3,OK
BIDE+,0.005,0.5000,0.860,0.573,1458,613118,3,OK
ClaSP,0.005,0.5000,2.740,2.110,1458,1099518,3,OK
CloSpan,0.005,0.5000,2.977,2.527,1458,1123669,3,OK
TriBack-Clo,0.005,0.5000,0.763,0.306,1458,585888,3,OK
BIDE+,0.01,1.0000,0.577,0.283,382,300557,3,OK
ClaSP,0.01,1.0000,1.217,0.602,382,696962,3,OK
CloSpan,0.01,1.0000,1.203,0.763,382,799104,3,OK
TriBack-Clo,0.01,1.0000,0.613,0.156,382,569362,3,OK
BIDE+,0.1,10.0000,0.430,0.133,9,208914,3,OK
ClaSP,0.1,10.0000,0.677,0.063,9,429553,3,OK
CloSpan,0.1,10.0000,0.557,0.117,9,385109,3,OK
TriBack-Clo,0.1,10.0000,0.517,0.058,9,553533,3,OK
