algorithm,ratio,minsup_pct,wall_sec_mean,mining_sec_mean,patterns,maxrss_kb_mean,n_runs,status
BIDE+,small_0.002,0.0000,2161.143,2160.828,9286171,10228774,3,OK
BIDE+,small_0.005,0.0000,102.537,102.226,294386,10199324,3,OK
BIDE+,small_0.01,0.0000,26.270,25.956,45279,10190941,3,OK
BIDE+,small_0.02,0.0000,9.347,9.049,9682,2982698,3,OK
BIDE+,small_0.05,0.0000,3.053,2.763,1478,952552,3,OK
ClaSP,small_0.002,0.0000,N/A,N/A,0,N/A,0,ERROR
ClaSP,small_0.005,0.0000,68.380,67.692,294386,28767052,3,OK
ClaSP,small_0.01,0.0000,24.567,23.930,45279,8926909,3,OK
ClaSP,small_0.02,0.0000,11.793,11.171,9682,4632284,3,OK
ClaSP,small_0.05,0.0000,4.927,4.322,1478,1841529,3,OK
CloSpan,small_0.002,0.0000,3944.590,3943.390,9286171,96368362,3,OK
CloSpan,small_0.005,0.0000,178.657,178.200,294386,12395273,3,OK
CloSpan,small_0.01,0.0000,55.860,55.396,45279,10670928,3,OK
CloSpan,small_0.02,0.0000,25.017,24.559,9682,9878520,3,OK
CloSpan,small_0.05,0.0000,9.640,9.202,1478,1793928,3,OK
TriBack-Clo,small_0.002,0.0000,295.223,293.882,9286171,5655638,3,OK
TriBack-Clo,small_0.005,0.0000,21.053,20.437,294386,1347248,3,OK
TriBack-Clo,small_0.01,0.0000,6.807,6.234,45279,1101572,3,OK
TriBack-Clo,small_0.02,0.0000,3.223,2.660,9682,828974,3,OK
TriBack-Clo,small_0.05,0.0000,1.483,0.935,1478,703500,3,OK
BIDE+,0.0005,0.0500,157.133,156.812,78105,10355536,3,OK
ClaSP,0.0005,0.0500,143.950,140.489,78105,53000646,3,OK
CloSpan,0.0005,0.0500,5104.490,5102.115,78105,46058741,3,OK
TriBack-Clo,0.0005,0.0500,35.730,33.294,78105,1751946,3,OK
BIDE+,0.001,0.1000,49.137,48.820,16637,10303824,3,OK
ClaSP,0.001,0.1000,61.790,58.377,16637,21733262,3,OK
CloSpan,0.001,0.1000,1399.387,1396.976,16637,35602780,3,OK
TriBack-Clo,0.001,0.1000,15.417,12.989,16637,1669740,3,OK
BIDE+,0.002,0.2000,20.053,19.757,4244,2269974,3,OK
ClaSP,0.002,0.2000,34.327,30.943,4244,10353945,3,OK
CloSpan,0.002,0.2000,551.083,548.727,4244,33388801,3,OK
TriBack-Clo,0.002,0.2000,9.093,6.715,4244,1624150,3,OK
BIDE+,0.005,0.5000,7.973,7.682,844,1180984,3,OK
ClaSP,0.005,0.5000,20.063,16.638,844,6806297,3,OK
CloSpan,0.005,0.5000,213.047,210.731,844,27697717,3,OK
TriBack-Clo,0.005,0.5000,5.703,3.313,844,1608836,3,OK
BIDE+,0.01,1.0000,4.517,4.230,270,1152900,3,OK
ClaSP,0.01,1.0000,14.097,10.681,270,5862241,3,OK
CloSpan,0.01,1.0000,117.993,115.623,270,18873632,3,OK
TriBack-Clo,0.01,1.0000,4.330,1.924,270,1594742,3,OK
BIDE+,0.02,2.0000,3.013,2.721,97,1057372,3,OK
ClaSP,0.02,2.0000,11.203,7.671,97,5188681,3,OK
CloSpan,0.02,2.0000,67.770,65.476,97,9807340,3,OK
TriBack-Clo,0.02,2.0000,3.743,1.350,97,1570857,3,OK
BIDE+,0.05,5.0000,1.880,1.580,26,1026897,3,OK
ClaSP,0.05,5.0000,9.163,4.510,26,4335849,3,OK
CloSpan,0.05,5.0000,27.273,24.937,26,6474730,3,OK
TriBack-Clo,0.05,5.0000,3.200,0.781,26,1591236,3,OK
