algorithm,ratio,minsup_pct,wall_sec_mean,mining_sec_mean,patterns,maxrss_kb_mean,n_runs,status
BIDE+,0.002,0.2000,2161.143,2160.828,9286171,10228774,3,OK
ClaSP,0.002,0.2000,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.002,0.2000,3944.590,3943.390,9286171,96368362,3,OK
TriBack-Clo,0.002,0.2000,295.223,293.882,9286171,5655638,3,OK
BIDE+,0.005,0.5000,102.537,102.226,294386,10199324,3,OK
ClaSP,0.005,0.5000,68.380,67.692,294386,28767052,3,OK
CloSpan,0.005,0.5000,178.657,178.200,294386,12395273,3,OK
TriBack-Clo,0.005,0.5000,21.053,20.437,294386,1347248,3,OK
BIDE+,0.01,1.0000,26.270,25.956,45279,10190941,3,OK
ClaSP,0.01,1.0000,24.567,23.930,45279,8926909,3,OK
CloSpan,0.01,1.0000,55.860,55.396,45279,10670928,3,OK
TriBack-Clo,0.01,1.0000,6.807,6.234,45279,1101572,3,OK
BIDE+,0.02,2.0000,9.347,9.049,9682,2982698,3,OK
ClaSP,0.02,2.0000,11.793,11.171,9682,4632284,3,OK
CloSpan,0.02,2.0000,25.017,24.559,9682,9878520,3,OK
TriBack-Clo,0.02,2.0000,3.223,2.660,9682,828974,3,OK
BIDE+,0.05,5.0000,3.053,2.763,1478,952552,3,OK
ClaSP,0.05,5.0000,4.927,4.322,1478,1841529,3,OK
CloSpan,0.05,5.0000,9.640,9.202,1478,1793928,3,OK
TriBack-Clo,0.05,5.0000,1.483,0.935,1478,703500,3,OK
