dataset,minsup,algorithm,run_type,run_id,campaign_id,expected_output_equivalent_group,log_path
D50C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D50C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D50C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D50C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D50C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D50C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D50C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D50C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D50C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D50C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D50C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D50C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D50C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D50C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D50C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D50C20T20N2.5S6I4,30%,ClaSP,measured,3,20260402_143133,D50C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D50C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D50C20T20N2.5S6I4,30%,ClaSP,measured,2,20260402_143133,D50C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D50C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D50C20T20N2.5S6I4,30%,ClaSP,measured,1,20260402_143133,D50C20T20N2.5S6I4_0.3_group,logs_scalability_D/ClaSP_D50C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D300C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D300C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D300C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D300C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D300C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D300C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D300C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D300C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D300C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D300C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D300C20T20N2.5S6I4_0.3_group,logs_scalability_D/CloSpan_D300C20T20N2.5S6I4_0.3_run1_20260402_143133.log
