Dataset,Ratio,Algorithm,Run,Internal_MB,External_MB,Gap_Factor
BIKE,0.0001,BIDE+,run3,9800.6,9953.03,1.02
BIKE,0.0001,BIDE+,run2,9800.36,9962.86,1.02
BIKE,0.0001,BIDE+,run1,9800.71,9957.34,1.02
BIKE,0.0001,BIDE+,run1,9800.69,9955.68,1.02
BIKE,0.0001,BIDE+,run2,9800.42,9956.07,1.02
BIKE,0.0001,BIDE+,run3,9800.48,9951.79,1.02
BIKE,0.0001,TriBack-Clo,run3,273.43,308.77,1.13
BIKE,0.0001,TriBack-Clo,run2,289.43,312.18,1.08
BIKE,0.0001,TriBack-Clo,run1,289.43,313.23,1.08
BIKE,0.0005,BIDE+,run2,4184.36,4318.1,1.03
BIKE,0.0005,BIDE+,run1,4184.25,4317.5,1.03
BIKE,0.0005,BIDE+,run3,4184.37,4313.69,1.03
BIKE,0.0005,BIDE+,run1,4184.64,4315.34,1.03
BIKE,0.0005,BIDE+,run2,4184.59,4318.45,1.03
BIKE,0.0005,BIDE+,run3,4184.62,4317.08,1.03
BIKE,0.0005,CloFast,run1,28846.08,32764.51,1.14
BIKE,0.0005,CloFast,run2,22300.33,32925.43,1.48
BIKE,0.0005,CloFast,run3,21393.49,32854.04,1.54
BIKE,0.0005,TriBack-Clo,run2,177.43,212.18,1.2
BIKE,0.0005,TriBack-Clo,run1,177.43,205.49,1.16
BIKE,0.0005,TriBack-Clo,run3,161.43,199.77,1.24
BIKE,0.001,BIDE+,run3,888.3,997.43,1.12
BIKE,0.001,BIDE+,run2,888.29,1014.9,1.14
BIKE,0.001,BIDE+,run1,888.39,1001.77,1.13
BIKE,0.001,BIDE+,run1,888.42,1002.05,1.13
BIKE,0.001,BIDE+,run2,888.55,998.23,1.12
BIKE,0.001,BIDE+,run3,888.21,1001.47,1.13
BIKE,0.001,CloFast,run1,7555.27,20059.14,2.65
BIKE,0.001,CloFast,run2,14594.53,20080.77,1.38
BIKE,0.001,CloFast,run3,11215.18,20039.88,1.79
BIKE,0.001,TriBack-Clo,run1,177.43,198.16,1.12
BIKE,0.001,TriBack-Clo,run2,193.43,202.44,1.05
BIKE,0.001,TriBack-Clo,run3,177.43,201.73,1.14
BIKE,0.002,BIDE+,run1,801.43,919.91,1.15
BIKE,0.002,BIDE+,run2,801.43,914.85,1.14
BIKE,0.002,BIDE+,run3,801.43,917.67,1.15
BIKE,0.002,BIDE+,run1,801.43,914.98,1.14
BIKE,0.002,BIDE+,run2,801.43,918.05,1.15
BIKE,0.002,BIDE+,run3,801.43,921.61,1.15
BIKE,0.002,CloFast,run1,3305.49,14026.7,4.24
BIKE,0.002,CloFast,run2,6872.21,11864.55,1.73
BIKE,0.002,CloFast,run3,4469.81,11857.0,2.65
