dataset,minsup,algorithm,run_type,run_id,campaign_id,group,status,patterns,mining_s,wall_s,external_mem_mb,log_path
D50C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D50C20T20N2.5S6I4_0.3_group,OK,320,62.648,62.648,2737.176200866699,logs_scalability_D/CloSpan_D50C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D50C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D50C20T20N2.5S6I4_0.3_group,OK,320,64.059,64.059,571.0870056152344,logs_scalability_D/CloSpan_D50C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D50C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D50C20T20N2.5S6I4_0.3_group,OK,320,61.001,61.001,2971.4236755371094,logs_scalability_D/CloSpan_D50C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D50C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D50C20T20N2.5S6I4_0.3_group,OK,320,61.503,61.503,4968.61385345459,logs_scalability_D/CloSpan_D50C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D50C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D50C20T20N2.5S6I4_0.3_group,OK,320,147.756,147.756,21423.780616760254,logs_scalability_D/ClaSP_D50C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D50C20T20N2.5S6I4,30%,ClaSP,measured,3,20260402_143133,D50C20T20N2.5S6I4_0.3_group,OK,320,147.901,147.901,23004.516288757324,logs_scalability_D/ClaSP_D50C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D50C20T20N2.5S6I4,30%,ClaSP,measured,2,20260402_143133,D50C20T20N2.5S6I4_0.3_group,OK,320,152.762,152.762,17621.989540100098,logs_scalability_D/ClaSP_D50C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D50C20T20N2.5S6I4,30%,ClaSP,measured,1,20260402_143133,D50C20T20N2.5S6I4_0.3_group,OK,320,154.948,154.948,13905.200782775879,logs_scalability_D/ClaSP_D50C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D300C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D300C20T20N2.5S6I4_0.3_group,OK,320,363.522,363.522,19233.11555480957,logs_scalability_D/CloSpan_D300C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D300C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D300C20T20N2.5S6I4_0.3_group,OK,320,346.004,346.004,14165.230484008789,logs_scalability_D/CloSpan_D300C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D300C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D300C20T20N2.5S6I4_0.3_group,OK,320,343.958,343.958,3751.8801879882812,logs_scalability_D/CloSpan_D300C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D300C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D300C20T20N2.5S6I4_0.3_group,OK,320,348.568,348.568,14336.467079162598,logs_scalability_D/CloSpan_D300C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D300C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D300C20T20N2.5S6I4_0.3_group,OK,320,1210.74,1210.74,22562.265167236328,logs_scalability_D/ClaSP_D300C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D300C20T20N2.5S6I4,30%,ClaSP,measured,3,20260402_143133,D300C20T20N2.5S6I4_0.3_group,OK,320,1301.359,1301.359,12261.95002746582,logs_scalability_D/ClaSP_D300C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D300C20T20N2.5S6I4,30%,ClaSP,measured,2,20260402_143133,D300C20T20N2.5S6I4_0.3_group,OK,320,1400.606,1400.606,27202.415245056152,logs_scalability_D/ClaSP_D300C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D300C20T20N2.5S6I4,30%,ClaSP,measured,1,20260402_143133,D300C20T20N2.5S6I4_0.3_group,OK,320,1302.027,1302.027,32631.07611846924,logs_scalability_D/ClaSP_D300C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D250C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D250C20T20N2.5S6I4_0.3_group,OK,320,299.439,299.439,16585.61685180664,logs_scalability_D/CloSpan_D250C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D250C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D250C20T20N2.5S6I4_0.3_group,OK,320,292.509,292.509,4055.35693359375,logs_scalability_D/CloSpan_D250C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D250C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D250C20T20N2.5S6I4_0.3_group,OK,320,286.614,286.614,5652.894454956055,logs_scalability_D/CloSpan_D250C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D250C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D250C20T20N2.5S6I4_0.3_group,OK,320,295.838,295.838,15707.003791809082,logs_scalability_D/CloSpan_D250C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D250C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D250C20T20N2.5S6I4_0.3_group,OK,320,1092.193,1092.193,43909.01989746094,logs_scalability_D/ClaSP_D250C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
