campaign_id,dataset,minsup,algorithm,group,n_measured,n_ok,status_summary,patterns,count_consistent,output_equivalent,comparison_eligible,wall_min_s,wall_median_s,wall_max_s,wall_range_pct,mem_min_mb,mem_median_mb,mem_max_mb,mem_range_pct
20260110_133905,BIKE,0.01%,BIDE+,BIKE_0.0001_group,3,3,3/3 OK,1867251,True,True,True,23.07,23.08,23.08,0.04332755632581461,9951.7890625,9955.68359375,9956.0703125,0.04300307417049385
20260110_133905,BIKE,0.01%,ClaSP,BIKE_0.0001_group,3,3,3/3 OK,1867251,True,True,True,60.33,60.61,60.63,0.4949678270912461,22147.04296875,22362.69140625,22531.4609375,1.7190147722673559
20260118_211632,BIKE,0.01%,CloFast,BIKE_0.0001_group,1,0,"0/1 OK, 1 OOM",0,False,True,False,,,,,,,,
20260110_133905,BIKE,0.01%,CloSpan,BIKE_0.0001_group,3,3,3/3 OK,1867251,True,True,True,42.56,43.05,43.12,1.3008130081300702,16420.1796875,16606.95703125,17280.19140625,5.178623134459133
20260112_163940,BIKE,0.01%,TriBack-Clo,BIKE_0.0001_group,3,3,3/3 OK,1867251,True,True,True,3.96,3.98,4.12,4.020100502512566,308.7734375,312.18359375,313.2265625,1.4264442748282635
20260110_133905,BIKE,0.05%,BIDE+,BIKE_0.0005_group,3,3,3/3 OK,118833,True,True,True,4.44,4.46,4.47,0.6726457399102995,4315.34375,4317.08203125,4318.44921875,0.07193443922354237
20260110_133905,BIKE,0.05%,ClaSP,BIKE_0.0005_group,3,3,3/3 OK,118833,True,True,True,11.98,12.07,12.11,1.0770505385252611,4375.0546875,4514.2109375,4706.296875,7.337764940232148
20260118_211632,BIKE,0.05%,CloFast,BIKE_0.0005_group,3,3,3/3 OK,118833,True,True,True,517.21,535.02,542.6,4.745616986280885,32764.5078125,32854.03515625,32925.43359375,0.4898204451436652
20260110_133905,BIKE,0.05%,CloSpan,BIKE_0.0005_group,3,3,3/3 OK,118833,True,True,True,11.07,11.37,11.62,4.837291116974486,4252.72265625,4284.46875,4292.33203125,0.9244874291590993
20260112_163940,BIKE,0.05%,TriBack-Clo,BIKE_0.0005_group,3,3,3/3 OK,118833,True,True,True,0.86,0.89,0.9,4.494382022471914,199.7734375,205.48828125,212.17578125,6.035547951715616
20260110_133905,BIKE,0.1%,BIDE+,BIKE_0.001_group,3,3,3/3 OK,36133,True,True,True,2.27,2.27,2.27,0.0,998.234375,1001.47265625,1002.05078125,0.3810794260015524
20260110_133905,BIKE,0.1%,ClaSP,BIKE_0.001_group,3,3,3/3 OK,36133,True,True,True,7.19,7.27,7.32,1.7881705639614842,1675.453125,1681.30859375,2653.0859375,58.147137065390375
20260118_211632,BIKE,0.1%,CloFast,BIKE_0.001_group,3,3,3/3 OK,36133,True,True,True,142.29,144.67,145.06,1.914702426211385,20039.8828125,20059.140625,20080.7734375,0.20385033319442117
20260110_133905,BIKE,0.1%,CloSpan,BIKE_0.001_group,3,3,3/3 OK,36133,True,True,True,7.14,7.23,7.52,5.255878284923926,2620.77734375,2630.63671875,2858.00390625,9.01783818378096
20260112_163940,BIKE,0.1%,TriBack-Clo,BIKE_0.001_group,3,3,3/3 OK,36133,True,True,True,0.58,0.58,0.61,5.172413793103453,198.16015625,201.73046875,202.44140625,2.122262455705517
20260110_133905,BIKE,0.2%,BIDE+,BIKE_0.002_group,3,3,3/3 OK,11592,True,True,True,1.46,1.47,1.47,0.680272108843538,914.98046875,918.05078125,921.61328125,0.7224886286757354
20260110_133905,BIKE,0.2%,ClaSP,BIKE_0.002_group,3,3,3/3 OK,11592,True,True,True,4.63,4.65,4.9,5.806451612903235,1287.7421875,1290.078125,1293.42578125,0.44056198146914555
20260118_211632,BIKE,0.2%,CloFast,BIKE_0.002_group,3,3,3/3 OK,11592,True,True,True,47.25,47.29,47.37,0.25375343624444374,11857.00390625,11864.55078125,14026.69921875,18.287209962713902
20260110_133905,BIKE,0.2%,CloSpan,BIKE_0.002_group,3,3,3/3 OK,11592,True,True,True,4.61,4.7,4.81,4.255319148936155,1097.9921875,1100.125,1105.8984375,0.718668333143961
20260112_163940,BIKE,0.2%,TriBack-Clo,BIKE_0.002_group,3,3,3/3 OK,11592,True,True,True,0.42,0.43,0.48,13.953488372093023,195.8125,198.35546875,199.47265625,1.8452509895823077
20260110_133905,BIKE,0.5%,BIDE+,BIKE_0.005_group,3,3,3/3 OK,2267,True,True,True,0.91,0.92,0.92,1.0869565217391313,815.28515625,818.44921875,820.43359375,0.6290478849577373
20260110_133905,BIKE,0.5%,ClaSP,BIKE_0.005_group,3,3,3/3 OK,2267,True,True,True,3.11,3.19,3.21,3.134796238244517,1083.2890625,1086.3125,1092.3671875,0.8356826419653645
20260118_211632,BIKE,0.5%,CloFast,BIKE_0.005_group,3,3,3/3 OK,2267,True,True,True,12.2,13.48,13.72,11.275964391691403,10275.2578125,19974.99609375,20009.1484375,48.730375612166696
20260110_133905,BIKE,0.5%,CloSpan,BIKE_0.005_group,3,3,3/3 OK,2267,True,True,True,2.86,2.86,3.06,6.993006993006999,1086.296875,1088.71484375,1089.45703125,0.2902648262895975
20260112_163940,BIKE,0.5%,TriBack-Clo,BIKE_0.005_group,3,3,3/3 OK,2267,True,True,True,0.32,0.34,0.34,5.8823529411764754,199.28515625,199.9609375,201.2421875,0.9787067786677085
20260110_133905,BIKE,1%,BIDE+,BIKE_0.01_group,3,3,3/3 OK,901,True,True,True,0.7,0.7,0.71,1.42857142857143,553.6328125,556.5,560.79296875,1.2866408355795147
20260110_133905,BIKE,1%,ClaSP,BIKE_0.01_group,3,3,3/3 OK,901,True,True,True,2.3,2.31,2.37,3.0303030303030427,1004.07421875,1007.43359375,1011.13671875,0.7010387626355645
20260118_211632,BIKE,1%,CloFast,BIKE_0.01_group,3,3,3/3 OK,901,True,True,True,7.13,7.14,7.22,1.2605042016806705,10027.06640625,10029.05078125,10029.3515625,0.022785369222302242
20260110_133905,BIKE,1%,CloSpan,BIKE_0.01_group,3,3,3/3 OK,901,True,True,True,2.13,2.14,2.15,0.9345794392523372,1006.55078125,1009.66015625,1010.59375,0.40042867146665223
20260112_163940,BIKE,1%,TriBack-Clo,BIKE_0.01_group,3,3,3/3 OK,901,True,True,True,0.29,0.3,0.3,3.3333333333333366,194.234375,195.57421875,200.5625,3.2356642099586552
20260110_133905,BIKE,10%,BIDE+,BIKE_0.1_group,3,3,3/3 OK,23,True,True,True,0.4,0.4,0.41,2.4999999999999885,195.06640625,197.96875,202.0703125,3.537884767166535
20260110_133905,BIKE,10%,ClaSP,BIKE_0.1_group,3,3,3/3 OK,23,True,True,True,0.73,0.74,0.75,2.7027027027027053,371.421875,374.71875,374.96484375,0.9455007922608623
20260118_211632,BIKE,10%,CloFast,BIKE_0.1_group,3,3,3/3 OK,23,True,True,True,4.33,4.37,4.41,1.8306636155606424,9942.078125,9942.62109375,9944.54296875,0.024790683731771873
20260110_133905,BIKE,10%,CloSpan,BIKE_0.1_group,3,3,3/3 OK,23,True,True,True,0.64,0.67,0.68,5.970149253731348,389.55078125,391.16796875,392.26953125,0.6950339028750038
20260112_163940,BIKE,10%,TriBack-Clo,BIKE_0.1_group,3,3,3/3 OK,23,True,True,True,0.21,0.22,0.22,4.545454545454549,192.19140625,194.09375,195.83984375,1.8797295121558526
20260110_133905,BIKE,2%,BIDE+,BIKE_0.02_group,3,3,3/3 OK,260,True,True,True,0.55,0.55,0.56,1.8181818181818195,342.8984375,349.10546875,349.3203125,1.839522887737633
20260110_133905,BIKE,2%,ClaSP,BIKE_0.02_group,3,3,3/3 OK,260,True,True,True,1.54,1.55,1.56,1.2903225806451624,733.015625,733.12109375,733.82421875,0.11029470532131992
20260118_211632,BIKE,2%,CloFast,BIKE_0.02_group,3,3,3/3 OK,260,True,True,True,5.06,5.08,5.19,2.5590551181102517,9945.16796875,9947.30078125,9949.16015625,0.040133374749510016
20260110_133905,BIKE,2%,CloSpan,BIKE_0.02_group,3,3,3/3 OK,260,True,True,True,1.32,1.35,1.38,4.444444444444431,765.2734375,793.484375,794.5625,3.691195872634543
20260112_163940,BIKE,2%,TriBack-Clo,BIKE_0.02_group,3,3,3/3 OK,260,True,True,True,0.24,0.25,0.31,28.000000000000004,195.6640625,197.99609375,200.4921875,2.438495077633318
20260110_133905,BIKE,20%,BIDE+,BIKE_0.2_group,3,3,3/3 OK,6,True,True,True,0.38,0.38,0.38,0.0,183.16015625,183.66015625,186.05078125,1.5738988025607759
20260110_133905,BIKE,20%,ClaSP,BIKE_0.2_group,3,3,3/3 OK,6,True,True,True,0.52,0.52,0.53,1.9230769230769247,283.375,286.59375,286.640625,1.139461345545742
20260118_211632,BIKE,20%,CloFast,BIKE_0.2_group,3,3,3/3 OK,6,True,True,True,4.29,4.31,4.33,0.928074245939676,9941.55078125,9942.8359375,9944.9609375,0.034297621638695576
20260110_133905,BIKE,20%,CloSpan,BIKE_0.2_group,3,3,3/3 OK,6,True,True,True,0.44,0.45,0.45,2.222222222222224,260.0390625,261.41796875,263.35546875,1.2686221478415491
20260112_163940,BIKE,20%,TriBack-Clo,BIKE_0.2_group,3,3,3/3 OK,6,True,True,True,0.2,0.21,0.21,4.761904761904753,184.546875,186.3359375,193.0703125,4.574231688398809
